IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
52.25.147.154,2083,80,false,ORD,North America,Chicago,213,0.00
18.246.213.48,8880,80,false,ORD,North America,Chicago,212,0.00
35.89.245.216,2052,80,false,ORD,North America,Chicago,211,0.00
54.188.61.59,2053,80,false,ORD,North America,Chicago,210,0.00
52.25.147.154,443,80,false,ORD,North America,Chicago,203,0.00
35.94.182.16,443,80,false,ORD,North America,Chicago,203,0.00
35.166.58.127,443,80,false,ORD,North America,Chicago,203,0.00
18.246.213.48,8443,80,false,ORD,North America,Chicago,203,0.00
35.94.182.16,2095,80,false,ORD,North America,Chicago,202,0.00
54.188.61.59,8080,80,false,ORD,North America,Chicago,210,0.00
35.93.4.236,2052,80,false,ORD,North America,Chicago,212,0.00
35.94.65.191,8880,80,false,ORD,North America,Chicago,215,0.00
54.188.61.59,443,80,false,ORD,North America,Chicago,203,0.00
52.25.147.154,2086,80,false,ORD,North America,Chicago,203,0.00
52.25.147.154,2053,80,false,ORD,North America,Chicago,203,0.00
35.166.58.127,2096,80,false,ORD,North America,Chicago,205,0.00
34.222.138.56,2086,80,false,ORD,North America,Chicago,222,0.00
54.71.180.5,80,80,false,ORD,North America,Chicago,202,0.00
52.25.147.154,8880,80,false,ORD,North America,Chicago,211,0.00
52.25.147.154,2087,80,false,ORD,North America,Chicago,210,0.00
52.25.147.154,2052,80,false,ORD,North America,Chicago,213,0.00
52.25.147.154,2096,80,false,ORD,North America,Chicago,208,0.00
3.110.43.175,2096,80,false,ORD,North America,Chicago,64,0.00
65.0.75.166,8880,80,false,ORD,North America,Chicago,56,0.00
3.8.95.118,8443,80,false,ORD,North America,Chicago,165,0.00
3.8.95.118,2096,80,false,ORD,North America,Chicago,178,0.00
13.215.80.221,2052,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2096,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2083,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2086,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2082,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.213.46.159,2053,443,true,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2095,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.229.117.78,2082,80,false,CGK,Asia Pacific,Jakarta,1,0.00
13.126.254.121,80,8080,false,BOM,Asia Pacific,Mumbai,61,0.00
